fecha_captura,torneo,#,Jugador,Equipo,G,A
2026-06-07,Liga de Primera 2026,108,Jeison Fuentealba,Universidad de Concepción,1,0
2026-06-08,Liga de Primera 2026,1,Fernando Zampedri,Universidad Católica,11,1
2026-06-08,Liga de Primera 2026,2,Daniel Castro,Deportes Limache,6,2
2026-06-08,Liga de Primera 2026,3,Justo Giani,Universidad Católica,6,2
2026-06-08,Liga de Primera 2026,4,Nelson Da Silva,Palestino,5,1
2026-06-08,Liga de Primera 2026,5,Jean Meneses,Deportes Limache,4,5
2026-06-08,Liga de Primera 2026,6,Sebastián Sáez,Unión La Calera,4,1
2026-06-08,Liga de Primera 2026,7,Steffan Pino,Cobresal,4,0
2026-06-08,Liga de Primera 2026,8,Jeisson Vargas,Deportes La Serena,3,2
2026-06-08,Liga de Primera 2026,9,Giovani Chiaverano,Audax Italiano,3,1
2026-06-08,Liga de Primera 2026,10,Maximiliano Romero,Colo-Colo,3,1
2026-06-08,Liga de Primera 2026,11,Franco Troyansky,Audax Italiano,3,0
2026-06-08,Liga de Primera 2026,12,Maximiliano Gutiérrez,Huachipato,3,0
2026-06-08,Liga de Primera 2026,13,Cris Martínez,Huachipato,3,0
2026-06-08,Liga de Primera 2026,14,Ignacio Jeraldino,Ñublense,3,0
2026-06-08,Liga de Primera 2026,15,Matías Palavecino,Universidad Católica,2,4
2026-06-08,Liga de Primera 2026,16,Clemente Montes,Universidad Católica,2,2
2026-06-08,Liga de Primera 2026,17,Claudio Aquino,Colo-Colo,2,1
2026-06-08,Liga de Primera 2026,18,Cristián Zavala,Coquimbo Unido,2,1
2026-06-08,Liga de Primera 2026,19,Yerko González,Deportes Limache,2,1
2026-06-08,Liga de Primera 2026,20,Alan Medina,Everton,2,1
2026-06-08,Liga de Primera 2026,21,Lionel Altamirano,Huachipato,2,1
2026-06-08,Liga de Primera 2026,22,Kevin Méndez,Unión La Calera,2,1
2026-06-08,Liga de Primera 2026,23,Eduardo Vargas,Universidad de Chile,2,1
2026-06-08,Liga de Primera 2026,24,Maximiliano Guerrero,Universidad de Chile,2,1
2026-06-08,Liga de Primera 2026,25,Franco Frías,Cobresal,2,0
2026-06-08,Liga de Primera 2026,26,Álvaro Madrid,Colo-Colo,2,0
2026-06-08,Liga de Primera 2026,27,Alejandro Camargo,Coquimbo Unido,2,0
2026-06-08,Liga de Primera 2026,28,Alejandro Azócar,Coquimbo Unido,2,0
2026-06-08,Liga de Primera 2026,29,Felipe Chamorro,Deportes La Serena,2,0
2026-06-08,Liga de Primera 2026,30,Vicente Álvarez,Deportes Limache,2,0
2026-06-08,Liga de Primera 2026,31,Cristian Palacios,Everton,2,0
2026-06-08,Liga de Primera 2026,32,Lucas Soto,Everton,2,0
2026-06-08,Liga de Primera 2026,33,Claudio Sepúlveda,Huachipato,2,0
2026-06-08,Liga de Primera 2026,34,Mario Briceño,Huachipato,2,0
2026-06-08,Liga de Primera 2026,35,Arnaldo Castillo,O'Higgins,2,0
2026-06-08,Liga de Primera 2026,36,Martín Sarrafiore,O'Higgins,2,0
2026-06-08,Liga de Primera 2026,37,Javier Altamirano,Universidad de Chile,2,0
2026-06-08,Liga de Primera 2026,38,Fabián Hormazábal,Universidad de Chile,2,0
2026-06-08,Liga de Primera 2026,39,Diego Rubio,Deportes La Serena,1,3
2026-06-08,Liga de Primera 2026,40,Francisco González,O'Higgins,1,3
2026-06-08,Liga de Primera 2026,41,Julián Fernández,Palestino,1,3
2026-06-08,Liga de Primera 2026,42,Bryan Carvallo,Cobresal,1,2
2026-06-08,Liga de Primera 2026,43,Guillermo Pacheco,Cobresal,1,2
2026-06-08,Liga de Primera 2026,44,Maximiliano Rodríguez,Huachipato,1,2
2026-06-08,Liga de Primera 2026,45,Julián Brea,Cobresal,1,1
2026-06-08,Liga de Primera 2026,46,Yastin Cuevas,Colo-Colo,1,1
2026-06-08,Liga de Primera 2026,47,Luis Riveros,Coquimbo Unido,1,1
2026-06-08,Liga de Primera 2026,48,Leonardo Valencia,Deportes Concepción,1,1
2026-06-08,Liga de Primera 2026,49,Joaquín Montecinos,Deportes Limache,1,1
2026-06-08,Liga de Primera 2026,50,Marcos Arturia,Deportes Limache,1,1
2026-06-08,Liga de Primera 2026,51,Flavio Moya,Deportes Limache,1,1
2026-06-08,Liga de Primera 2026,52,Nicolás Vargas,Huachipato,1,1
2026-06-08,Liga de Primera 2026,53,Gabriel Graciani,Ñublense,1,1
2026-06-08,Liga de Primera 2026,54,Bryan Rabello,O'Higgins,1,1
2026-06-08,Liga de Primera 2026,55,Felipe Ogaz,O'Higgins,1,1
2026-06-08,Liga de Primera 2026,56,Martín Maturana,O'Higgins,1,1
2026-06-08,Liga de Primera 2026,57,Ian Garguez,Palestino,1,1
2026-06-08,Liga de Primera 2026,58,Sebastián Gallegos,Palestino,1,1
2026-06-08,Liga de Primera 2026,59,Martín Araya,Palestino,1,1
2026-06-08,Liga de Primera 2026,60,Jimmy Martínez,Universidad Católica,1,1
2026-06-08,Liga de Primera 2026,61,Agustín Arce,Universidad de Chile,1,1
2026-06-08,Liga de Primera 2026,62,Antonio Díaz,Universidad de Concepción,1,1
2026-06-08,Liga de Primera 2026,63,Cecilio Waterman,Universidad de Concepción,1,1
2026-06-08,Liga de Primera 2026,64,Diego Coelho,Audax Italiano,1,0
2026-06-08,Liga de Primera 2026,65,Rodrigo Cabral,Audax Italiano,1,0
2026-06-08,Liga de Primera 2026,66,Federico Mateos,Audax Italiano,1,0
2026-06-08,Liga de Primera 2026,67,Enzo Ferrario,Audax Italiano,1,0
2026-06-08,Liga de Primera 2026,68,Marco Collao,Audax Italiano,1,0
2026-06-08,Liga de Primera 2026,69,Agustín Nadruz,Cobresal,1,0
2026-06-08,Liga de Primera 2026,70,Benjamín Valenzuela,Cobresal,1,0
2026-06-08,Liga de Primera 2026,71,Javier Correa,Colo-Colo,1,0
2026-06-08,Liga de Primera 2026,72,Guido Vadalá,Coquimbo Unido,1,0
2026-06-08,Liga de Primera 2026,73,Nicolás Johansen,Coquimbo Unido,1,0
2026-06-08,Liga de Primera 2026,74,Manuel Fernández,Coquimbo Unido,1,0
2026-06-08,Liga de Primera 2026,75,Martín Mundaca,Coquimbo Unido,1,0
2026-06-08,Liga de Primera 2026,76,Fausto Grillo,Deportes Concepción,1,0
2026-06-08,Liga de Primera 2026,77,Joaquín Larrivey,Deportes Concepción,1,0
2026-06-08,Liga de Primera 2026,78,Jorge Henríquez,Deportes Concepción,1,0
2026-06-08,Liga de Primera 2026,79,Sebastián Díaz,Deportes La Serena,1,0
2026-06-08,Liga de Primera 2026,80,Lucas Alarcón,Deportes La Serena,1,0
2026-06-08,Liga de Primera 2026,81,Gonzalo Escalante,Deportes La Serena,1,0
2026-06-08,Liga de Primera 2026,82,Matías Marín,Deportes La Serena,1,0
2026-06-08,Liga de Primera 2026,83,Gonzalo Sosa,Deportes Limache,1,0
2026-06-08,Liga de Primera 2026,84,César Pinares,Deportes Limache,1,0
2026-06-08,Liga de Primera 2026,85,Renzo Malanca,Huachipato,1,0
2026-06-08,Liga de Primera 2026,86,Santiago Silva,Huachipato,1,0
2026-06-08,Liga de Primera 2026,87,Ignacio Tapia,Ñublense,1,0
2026-06-08,Liga de Primera 2026,88,Franco Rami,Ñublense,1,0
2026-06-08,Liga de Primera 2026,89,Diego Sanhueza,Ñublense,1,0
2026-06-08,Liga de Primera 2026,90,Diego Céspedes,Ñublense,1,0
2026-06-08,Liga de Primera 2026,91,Giovanny Ávalos,Ñublense,1,0
2026-06-08,Liga de Primera 2026,92,Lucas Molina,Ñublense,1,0
2026-06-08,Liga de Primera 2026,93,Miguel Brizuela,O'Higgins,1,0
2026-06-08,Liga de Primera 2026,94,Thiago Vecino,O'Higgins,1,0
2026-06-08,Liga de Primera 2026,95,Bastián Yáñez,O'Higgins,1,0
2026-06-08,Liga de Primera 2026,96,Ronnie Fernández,Palestino,1,0
2026-06-08,Liga de Primera 2026,97,Francisco Montes,Palestino,1,0
2026-06-08,Liga de Primera 2026,98,Vicente Espinoza,Palestino,1,0
2026-06-08,Liga de Primera 2026,99,César Munder,Palestino,1,0
2026-06-08,Liga de Primera 2026,100,Matías Campos López,Unión La Calera,1,0
2026-06-08,Liga de Primera 2026,101,Juan Ignacio Díaz,Universidad Católica,1,0
2026-06-08,Liga de Primera 2026,102,Nicolás Ramírez,Universidad de Chile,1,0
2026-06-08,Liga de Primera 2026,103,Matías Zaldivia,Universidad de Chile,1,0
2026-06-08,Liga de Primera 2026,104,Luis Rojas,Universidad de Concepción,1,0
2026-06-08,Liga de Primera 2026,105,Daniel Barrea,Universidad de Concepción,1,0
2026-06-08,Liga de Primera 2026,106,Agustín Urzi,Universidad de Concepción,1,0
2026-06-08,Liga de Primera 2026,107,Cristhofer Mesías,Universidad de Concepción,1,0
2026-06-08,Liga de Primera 2026,108,Jeison Fuentealba,Universidad de Concepción,1,0
2026-06-09,Liga de Primera 2026,1,Fernando Zampedri,Universidad Católica,11,1
2026-06-09,Liga de Primera 2026,2,Daniel Castro,Deportes Limache,6,2
2026-06-09,Liga de Primera 2026,3,Justo Giani,Universidad Católica,6,2
2026-06-09,Liga de Primera 2026,4,Nelson Da Silva,Palestino,5,1
2026-06-09,Liga de Primera 2026,5,Jean Meneses,Deportes Limache,4,5
2026-06-09,Liga de Primera 2026,6,Sebastián Sáez,Unión La Calera,4,1
2026-06-09,Liga de Primera 2026,7,Steffan Pino,Cobresal,4,0
2026-06-09,Liga de Primera 2026,8,Jeisson Vargas,Deportes La Serena,3,2
2026-06-09,Liga de Primera 2026,9,Giovani Chiaverano,Audax Italiano,3,1
2026-06-09,Liga de Primera 2026,10,Maximiliano Romero,Colo-Colo,3,1
2026-06-09,Liga de Primera 2026,11,Franco Troyansky,Audax Italiano,3,0
2026-06-09,Liga de Primera 2026,12,Maximiliano Gutiérrez,Huachipato,3,0
2026-06-09,Liga de Primera 2026,13,Cris Martínez,Huachipato,3,0
2026-06-09,Liga de Primera 2026,14,Ignacio Jeraldino,Ñublense,3,0
2026-06-09,Liga de Primera 2026,15,Matías Palavecino,Universidad Católica,2,4
2026-06-09,Liga de Primera 2026,16,Clemente Montes,Universidad Católica,2,2
2026-06-09,Liga de Primera 2026,17,Claudio Aquino,Colo-Colo,2,1
2026-06-09,Liga de Primera 2026,18,Cristián Zavala,Coquimbo Unido,2,1
2026-06-09,Liga de Primera 2026,19,Yerko González,Deportes Limache,2,1
2026-06-09,Liga de Primera 2026,20,Alan Medina,Everton,2,1
2026-06-09,Liga de Primera 2026,21,Lionel Altamirano,Huachipato,2,1
2026-06-09,Liga de Primera 2026,22,Kevin Méndez,Unión La Calera,2,1
2026-06-09,Liga de Primera 2026,23,Eduardo Vargas,Universidad de Chile,2,1
2026-06-09,Liga de Primera 2026,24,Maximiliano Guerrero,Universidad de Chile,2,1
2026-06-09,Liga de Primera 2026,25,Franco Frías,Cobresal,2,0
2026-06-09,Liga de Primera 2026,26,Álvaro Madrid,Colo-Colo,2,0
2026-06-09,Liga de Primera 2026,27,Alejandro Camargo,Coquimbo Unido,2,0
2026-06-09,Liga de Primera 2026,28,Alejandro Azócar,Coquimbo Unido,2,0
2026-06-09,Liga de Primera 2026,29,Felipe Chamorro,Deportes La Serena,2,0
2026-06-09,Liga de Primera 2026,30,Vicente Álvarez,Deportes Limache,2,0
2026-06-09,Liga de Primera 2026,31,Cristian Palacios,Everton,2,0
2026-06-09,Liga de Primera 2026,32,Lucas Soto,Everton,2,0
2026-06-09,Liga de Primera 2026,33,Claudio Sepúlveda,Huachipato,2,0
2026-06-09,Liga de Primera 2026,34,Mario Briceño,Huachipato,2,0
2026-06-09,Liga de Primera 2026,35,Arnaldo Castillo,O'Higgins,2,0
2026-06-09,Liga de Primera 2026,36,Martín Sarrafiore,O'Higgins,2,0
2026-06-09,Liga de Primera 2026,37,Javier Altamirano,Universidad de Chile,2,0
2026-06-09,Liga de Primera 2026,38,Fabián Hormazábal,Universidad de Chile,2,0
2026-06-09,Liga de Primera 2026,39,Diego Rubio,Deportes La Serena,1,3
2026-06-09,Liga de Primera 2026,40,Francisco González,O'Higgins,1,3
2026-06-09,Liga de Primera 2026,41,Julián Fernández,Palestino,1,3
2026-06-09,Liga de Primera 2026,42,Bryan Carvallo,Cobresal,1,2
2026-06-09,Liga de Primera 2026,43,Guillermo Pacheco,Cobresal,1,2
2026-06-09,Liga de Primera 2026,44,Maximiliano Rodríguez,Huachipato,1,2
2026-06-09,Liga de Primera 2026,45,Julián Brea,Cobresal,1,1
2026-06-09,Liga de Primera 2026,46,Yastin Cuevas,Colo-Colo,1,1
2026-06-09,Liga de Primera 2026,47,Luis Riveros,Coquimbo Unido,1,1
2026-06-09,Liga de Primera 2026,48,Leonardo Valencia,Deportes Concepción,1,1
2026-06-09,Liga de Primera 2026,49,Joaquín Montecinos,Deportes Limache,1,1
2026-06-09,Liga de Primera 2026,50,Marcos Arturia,Deportes Limache,1,1
2026-06-09,Liga de Primera 2026,51,Flavio Moya,Deportes Limache,1,1
2026-06-09,Liga de Primera 2026,52,Nicolás Vargas,Huachipato,1,1
2026-06-09,Liga de Primera 2026,53,Gabriel Graciani,Ñublense,1,1
2026-06-09,Liga de Primera 2026,54,Bryan Rabello,O'Higgins,1,1
2026-06-09,Liga de Primera 2026,55,Felipe Ogaz,O'Higgins,1,1
2026-06-09,Liga de Primera 2026,56,Martín Maturana,O'Higgins,1,1
2026-06-09,Liga de Primera 2026,57,Ian Garguez,Palestino,1,1
2026-06-09,Liga de Primera 2026,58,Sebastián Gallegos,Palestino,1,1
2026-06-09,Liga de Primera 2026,59,Martín Araya,Palestino,1,1
2026-06-09,Liga de Primera 2026,60,Jimmy Martínez,Universidad Católica,1,1
2026-06-09,Liga de Primera 2026,61,Agustín Arce,Universidad de Chile,1,1
2026-06-09,Liga de Primera 2026,62,Antonio Díaz,Universidad de Concepción,1,1
2026-06-09,Liga de Primera 2026,63,Cecilio Waterman,Universidad de Concepción,1,1
2026-06-09,Liga de Primera 2026,64,Diego Coelho,Audax Italiano,1,0
2026-06-09,Liga de Primera 2026,65,Rodrigo Cabral,Audax Italiano,1,0
2026-06-09,Liga de Primera 2026,66,Federico Mateos,Audax Italiano,1,0
2026-06-09,Liga de Primera 2026,67,Enzo Ferrario,Audax Italiano,1,0
2026-06-09,Liga de Primera 2026,68,Marco Collao,Audax Italiano,1,0
2026-06-09,Liga de Primera 2026,69,Agustín Nadruz,Cobresal,1,0
2026-06-09,Liga de Primera 2026,70,Benjamín Valenzuela,Cobresal,1,0
2026-06-09,Liga de Primera 2026,71,Javier Correa,Colo-Colo,1,0
2026-06-09,Liga de Primera 2026,72,Guido Vadalá,Coquimbo Unido,1,0
2026-06-09,Liga de Primera 2026,73,Nicolás Johansen,Coquimbo Unido,1,0
2026-06-09,Liga de Primera 2026,74,Manuel Fernández,Coquimbo Unido,1,0
2026-06-09,Liga de Primera 2026,75,Martín Mundaca,Coquimbo Unido,1,0
2026-06-09,Liga de Primera 2026,76,Fausto Grillo,Deportes Concepción,1,0
2026-06-09,Liga de Primera 2026,77,Joaquín Larrivey,Deportes Concepción,1,0
2026-06-09,Liga de Primera 2026,78,Jorge Henríquez,Deportes Concepción,1,0
2026-06-09,Liga de Primera 2026,79,Sebastián Díaz,Deportes La Serena,1,0
2026-06-09,Liga de Primera 2026,80,Lucas Alarcón,Deportes La Serena,1,0
2026-06-09,Liga de Primera 2026,81,Gonzalo Escalante,Deportes La Serena,1,0
2026-06-09,Liga de Primera 2026,82,Matías Marín,Deportes La Serena,1,0
2026-06-09,Liga de Primera 2026,83,Gonzalo Sosa,Deportes Limache,1,0
2026-06-09,Liga de Primera 2026,84,César Pinares,Deportes Limache,1,0
2026-06-09,Liga de Primera 2026,85,Renzo Malanca,Huachipato,1,0
2026-06-09,Liga de Primera 2026,86,Santiago Silva,Huachipato,1,0
2026-06-09,Liga de Primera 2026,87,Ignacio Tapia,Ñublense,1,0
2026-06-09,Liga de Primera 2026,88,Franco Rami,Ñublense,1,0
2026-06-09,Liga de Primera 2026,89,Diego Sanhueza,Ñublense,1,0
2026-06-09,Liga de Primera 2026,90,Diego Céspedes,Ñublense,1,0
2026-06-09,Liga de Primera 2026,91,Giovanny Ávalos,Ñublense,1,0
2026-06-09,Liga de Primera 2026,92,Lucas Molina,Ñublense,1,0
2026-06-09,Liga de Primera 2026,93,Miguel Brizuela,O'Higgins,1,0
2026-06-09,Liga de Primera 2026,94,Thiago Vecino,O'Higgins,1,0
2026-06-09,Liga de Primera 2026,95,Bastián Yáñez,O'Higgins,1,0
2026-06-09,Liga de Primera 2026,96,Ronnie Fernández,Palestino,1,0
2026-06-09,Liga de Primera 2026,97,Francisco Montes,Palestino,1,0
2026-06-09,Liga de Primera 2026,98,Vicente Espinoza,Palestino,1,0
2026-06-09,Liga de Primera 2026,99,César Munder,Palestino,1,0
2026-06-09,Liga de Primera 2026,100,Matías Campos López,Unión La Calera,1,0
2026-06-09,Liga de Primera 2026,101,Juan Ignacio Díaz,Universidad Católica,1,0
2026-06-09,Liga de Primera 2026,102,Nicolás Ramírez,Universidad de Chile,1,0
2026-06-09,Liga de Primera 2026,103,Matías Zaldivia,Universidad de Chile,1,0
2026-06-09,Liga de Primera 2026,104,Luis Rojas,Universidad de Concepción,1,0
2026-06-09,Liga de Primera 2026,105,Daniel Barrea,Universidad de Concepción,1,0
2026-06-09,Liga de Primera 2026,106,Agustín Urzi,Universidad de Concepción,1,0
2026-06-09,Liga de Primera 2026,107,Cristhofer Mesías,Universidad de Concepción,1,0
2026-06-09,Liga de Primera 2026,108,Jeison Fuentealba,Universidad de Concepción,1,0
2026-06-10,Liga de Primera 2026,1,Fernando Zampedri,Universidad Católica,11,1
2026-06-10,Liga de Primera 2026,2,Daniel Castro,Deportes Limache,6,2
2026-06-10,Liga de Primera 2026,3,Justo Giani,Universidad Católica,6,2
2026-06-10,Liga de Primera 2026,4,Nelson Da Silva,Palestino,5,1
2026-06-10,Liga de Primera 2026,5,Jean Meneses,Deportes Limache,4,5
2026-06-10,Liga de Primera 2026,6,Sebastián Sáez,Unión La Calera,4,1
2026-06-10,Liga de Primera 2026,7,Steffan Pino,Cobresal,4,0
2026-06-10,Liga de Primera 2026,8,Jeisson Vargas,Deportes La Serena,3,2
2026-06-10,Liga de Primera 2026,9,Giovani Chiaverano,Audax Italiano,3,1
2026-06-10,Liga de Primera 2026,10,Maximiliano Romero,Colo-Colo,3,1
2026-06-10,Liga de Primera 2026,11,Franco Troyansky,Audax Italiano,3,0
2026-06-10,Liga de Primera 2026,12,Maximiliano Gutiérrez,Huachipato,3,0
2026-06-10,Liga de Primera 2026,13,Cris Martínez,Huachipato,3,0
2026-06-10,Liga de Primera 2026,14,Ignacio Jeraldino,Ñublense,3,0
2026-06-10,Liga de Primera 2026,15,Matías Palavecino,Universidad Católica,2,4
2026-06-10,Liga de Primera 2026,16,Clemente Montes,Universidad Católica,2,2
2026-06-10,Liga de Primera 2026,17,Claudio Aquino,Colo-Colo,2,1
